"type","generator","copyright","timestamp","features__type","features__properties__@id","features__properties__created_by","features__properties__leisure","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002","features__id","features__properties__access","features__properties__name","features__properties__operator","features__properties__layer","features__properties__source","features__properties__natural","features__properties__tourism","features__properties__amenity","features__properties__website","features__properties__equipment","features__properties__shade","features__properties__wheelchair","features__properties__addr:city","features__properties__addr:housenumber","features__properties__addr:postcode","features__properties__addr:street","features__properties__phone","features__properties__opening_hours","features__properties__wikidata","features__properties__wikipedia","features__properties__name:en","features__properties__surface","features__properties__playground:theme","features__properties__addr:province","features__properties__description","features__properties__fee","features__properties__indoor"
"","","","","Feature","node/354168562","Potlatch 0.10f","playground","Point","145.2625937","-37.9052878","node/354168562","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/357020661","","playground","Point","145.0449854","-37.9219508","node/357020661","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/358834781","Potlatch 0.10f","playground","Point","144.7916084","-37.8797594","node/358834781","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/359867201","Potlatch 0.10f","playground","Point","145.3011094","-37.8259316","node/359867201","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/361047511","Potlatch 0.10f","playground","Point","145.306392","-37.830483","node/361047511","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/361233895","","playground","Point","144.9763473","-37.8020066","node/361233895","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/364862399","","playground","Point","144.981063","-37.8024321","node/364862399","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/365213832","Potlatch 0.10f","playground","Point","144.993717","-37.8715414","node/365213832","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/369114285","Potlatch 0.10f","playground","Point","144.9646173","-37.8364169","node/369114285","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/370487893","Potlatch 0.10f","playground","Point","144.834602","-37.7949737","node/370487893","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/376335850","Potlatch 0.10f","playground","Point","145.3053283","-37.836127","node/376335850","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/384026289","","playground","Point","144.989195","-37.797175","node/384026289","yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/385026726","","playground","Point","144.9945048","-37.8031429","node/385026726","yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/387133409","","playground","Point","144.8532704","-37.7868476","node/387133409","","Lance Reichstein Playground","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/408616697","","playground","Point","145.1717522","-37.901682","node/408616697","","","","","survey","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/413302963","","playground","Point","144.9381691","-37.7539123","node/413302963","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/413963888","","playground","Point","145.2218637","-37.9455625","node/413963888","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/413973393","","playground","Point","145.2244613","-37.9385642","node/413973393","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/426264515","","playground","Point","145.2255277","-37.9361583","node/426264515","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/443189600","","playground","Point","145.0000382","-37.8162038","node/443189600","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/448793732","","playground","Point","144.9884069","-37.7556958","node/448793732","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/459413194","","playground","Point","145.2423912","-37.8380431","node/459413194","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/459510342","","playground","Point","144.974432","-37.7765469","node/459510342","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/466941230","","playground","Point","144.8207177","-37.7559694","node/466941230","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/469747705","","playground","Point","145.1282018","-37.9783005","node/469747705","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/469747739","","playground","Point","145.1406492","-37.9812871","node/469747739","","","","","","","","parking","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/471250356","","playground","Point","145.269744","-37.9061332","node/471250356","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/474112471","","playground","Point","145.1249964","-37.9859652","node/474112471","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/476101217","","playground","Point","145.071922","-37.7725429","node/476101217","","","","","","","","","","","","","","","","","","","","","","","","","","",""
